start_date_local,elapsed_time,moving_time
2019-09-11 18:03:46.030000,0:10:57.970000,0:10:57.970000
2019-11-04 09:18:56.310000,0:10:31.690000,0:10:31.690000
2019-11-11 17:27:07.560000,0:11:57.440000,0:11:57.440000
2019-03-25 09:11:39.840000,0:10:31.160000,0:10:31.160000
2019-03-01 16:55:45.370000,0:11:20.630000,0:11:20.630000
2019-11-26 17:10:20.290000,0:11:03.710000,0:11:03.710000
2019-07-23 09:09:06.990000,0:10:36.010000,0:10:36.010000
2019-02-11 17:29:02.390000,0:09:46.610000,0:09:46.610000
2019-02-12 17:26:50.880000,0:19:17.120000,0:19:17.120000
2019-10-22 17:31:21.350000,0:16:35.650000,0:16:35.650000
2019-05-30 17:36:06.440000,0:14:13.560000,0:14:13.560000
2019-09-10 17:22:33.760000,0:18:54.240000,0:18:54.240000
2019-01-28 17:31:05.070000,0:11:01.930000,0:11:01.930000
2020-01-08 18:12:02.720000,0:21:22.280000,0:21:22.280000
2019-08-07 18:02:41,0:13:24,0:13:24
2019-09-11 09:10:42.890000,0:10:01.110000,0:10:01.110000
2019-08-08 09:21:21.460000,0:10:09.540000,0:10:09.540000
2019-10-28 18:26:32,0:00:00,0:00:00
2019-09-18 17:12:26,0:00:00,0:00:00
2019-08-14 17:16:04.750000,0:14:23.250000,0:14:23.250000
2019-10-08 09:32:23.850000,0:12:03.150000,0:12:03.150000
2019-08-14 08:46:38.670000,0:10:25.330000,0:10:25.330000
2019-02-04 09:03:07.580000,0:10:03.420000,0:10:03.420000
2019-08-06 18:23:59.350000,0:14:17.650000,0:14:17.650000
2019-08-05 17:13:12.060000,0:15:54.940000,0:15:54.940000
2019-07-09 17:43:28.830000,0:14:43.170000,0:14:43.170000
2019-10-16 09:15:07.410000,0:10:24.590000,0:10:24.590000
2019-07-18 17:55:44.940000,0:11:17.060000,0:11:17.060000
2019-07-03 09:13:03.170000,0:11:48.830000,0:11:48.830000
2019-02-11 09:11:32.920000,0:10:00.080000,0:10:00.080000
2019-09-26 17:32:26.500000,0:10:43.500000,0:10:43.500000
2019-12-10 09:35:24.730000,0:10:23.270000,0:10:23.270000
2019-09-12 09:18:25.960000,0:10:07.040000,0:10:07.040000
2019-11-13 18:05:28.220000,0:13:54.780000,0:13:54.780000
2019-11-14 09:13:43.790000,0:12:05.210000,0:12:05.210000
2019-10-29 17:53:56.300000,0:15:13.700000,0:15:13.700000
2019-12-09 17:39:40.780000,0:10:55.220000,0:10:55.220000
2019-09-13 09:14:05.090000,0:08:15.910000,0:08:15.910000
2019-08-21 09:03:07.160000,0:11:10.840000,0:11:10.840000
2020-01-08 09:28:28.230000,0:19:15.770000,0:19:15.770000
2019-01-31 17:21:51.130000,0:18:23.870000,0:18:23.870000
2019-10-21 09:27:34.550000,0:11:18.450000,0:11:18.450000
2019-02-14 08:42:07.610000,0:12:17.390000,0:12:17.390000
2019-04-29 18:04:00.340000,0:10:48.660000,0:10:48.660000
2019-06-21 08:34:29.190000,0:10:05.810000,0:10:05.810000
2019-10-08 09:44:20,0:00:00,0:00:00
2019-09-18 09:05:00.950000,0:09:30.050000,0:09:30.050000
2019-10-28 09:32:41.470000,0:11:23.530000,0:11:23.530000
2019-12-06 09:39:55.450000,0:11:01.550000,0:11:01.550000
2020-01-15 09:39:10.880000,0:20:22.120000,0:20:22.120000
2019-02-27 09:11:01.170000,0:11:02.830000,0:11:02.830000
2019-10-16 17:54:15,0:08:45,0:08:45
2019-06-03 09:05:56.030000,0:12:37.970000,0:12:37.970000
2019-04-09 17:46:57.450000,0:13:12.550000,0:13:12.550000
2019-06-03 17:24:40.780000,0:11:46.220000,0:11:46.220000
2019-08-26 17:19:12.130000,0:12:02.870000,0:12:02.870000
2019-11-21 10:27:54.490000,0:17:25.510000,0:17:25.510000
